pos_x, pos_y
1.1076559111482622, 1.1076559111482622
3.328589854793654, 3.328589854793654
6.669021441169893, 6.669021441169893
11.135821602959027, 11.135821602959027
16.73657011793009, 16.73657011793009
23.479616941294957, 23.479616941294957
31.37414745677058, 31.37414745677058
40.43025174146039, 40.43025174146039
50.658997923444424, 50.658997923444424
62.07250969228354, 62.07250969228354
74.68404800139994, 74.68404800139994
88.508096977411, 88.508096977411
103.56045402490173, 103.56045402490173
119.85832408578416, 119.85832408578416
137.42041798029064, 137.42041798029064
156.26705472179577, 156.26705472179577
176.42026766010133, 176.42026766010133
197.90391426762324, 197.90391426762324
220.74378934020422, 220.74378934020422
244.96774133918726, 244.96774133918726
270.60579155411375, 270.60579155411375
297.69025571618823, 297.69025571618823
326.25586764175165, 326.25586764175165
356.3399044327466, 356.3399044327466
387.98231270790075, 387.98231270790075
421.2258352845069, 421.2258352845069
456.1161376766842, 456.1161376766842
492.70193372236, 492.70193372236
531.0351095984363, 531.0351095984363
571.1708454322724, 571.1708454322724
613.1677336683157, 613.1677336683157
657.0878933020739, 657.0878933020739
702.9970790502914, 702.9970790502914
750.9647844868368, 750.9647844868368
801.0643381390958, 801.0643381390958
853.3729915102848, 853.3729915102848
907.9719979697159, 907.9719979697159
964.9466814363201, 964.9466814363201
1024.3864937713186, 1024.3864937713186
1086.3850597944124, 1086.3850597944124
1151.040208844825, 1151.040208844825
1218.4539918244877, 1218.4539918244877
1288.7326826860613, 1288.7326826860613
1361.9867633637327, 1361.9867633637327
1438.3308911901318, 1438.3308911901318
1517.8838478984771, 1517.8838478984771
1600.7684693753492, 1600.7684693753492
1687.1115554063006, 1687.1115554063006
1777.0437587437773, 1777.0437587437773
1870.6994529243493, 1870.6994529243493
1968.2165783697087, 1968.2165783697087
2069.7364664228658, 2069.7364664228658
2175.4036410968797, 2175.4036410968797
2285.3655984476486, 2285.3655984476486
2399.7725636239097, 2399.7725636239097
2518.7772257957827, 2518.7772257957827
2642.5344513168584, 2642.5344513168584
2771.200975632871, 2771.200975632871
2904.935074611143, 2904.935074611143
3043.896216127923, 3043.896216127923
3188.2446929140638, 3188.2446929140638
3338.1412378217124, 3338.1412378217124
3493.7466228343037, 3493.7466228343037
3655.221243297615, 3655.221243297615
3822.7246889993617, 3822.7246889993617
3996.4153038672625, 3996.4153038672625
4176.4497361890735, 4176.4497361890735
4362.982481381339, 4362.982481381339
4556.165419445026, 4556.165419445026
4756.147349344443, 4756.147349344443
4963.0735226296465, 4963.0735226296465
5177.085178690615, 5177.085178690615
5398.319084083001, 5398.319084083001
5626.90707839908, 5626.90707839908
5862.975629173125, 5862.975629173125
6106.645398307086, 6106.645398307086
6358.030822479885, 6358.030822479885
6617.239709961537, 6617.239709961537
6884.372856191852, 6884.372856191852
7159.523680402605, 7159.523680402605
7442.777885462488, 7442.777885462488
7734.213143006165, 7734.213143006165
8033.898805773462, 8033.898805773462
8341.895648932767, 8341.895648932767
8658.255641995675, 8658.255641995675
8983.021752748691, 8983.021752748691
9316.227784434272, 9316.227784434272
9657.898247208994, 9657.898247208994
10008.048264693218, 10008.048264693218
10366.68351620576, 10366.68351620576
10733.80021505121, 10733.80021505121
11109.38512299813, 11109.38512299813
11493.415600855948, 11493.415600855948
11885.859694828621, 11885.859694828621
12286.676258096333, 12286.676258096333
12695.815106854545, 12695.815106854545
13113.2172098246, 13113.2172098246
13538.814910043722, 13538.814910043722
13972.53217754631, 13972.53217754631
14414.28489136471, 14414.28489136471
