pos_x, pos_y
1.0616069851961016, 1.0616069851961016
3.185031608364911, 3.185031608364911
6.370528184963196, 6.370528184963196
10.618403008094282, 10.618403008094282
15.929024087451332, 15.929024087451332
22.30283252349859, 22.30283252349859
29.74035575322, 29.74035575322
38.24222293065698, 38.24222293065698
47.8091827340915, 47.8091827340915
58.44212392197291, 58.44212392197291
70.14209899134433, 70.14209899134433
82.91035132533419, 82.91035132533419
96.74834624990416, 96.74834624990416
111.65780645406367, 111.65780645406367
127.64075226166277, 127.64075226166277
144.69954727604758, 144.69954727604758
162.83694995059486, 162.83694995059486
182.056171667615, 182.056171667615
202.36094193439777, 202.36094193439777
223.75558132723958, 223.75558132723958
246.24508283099075, 246.24508283099075
269.83520223176504, 269.83520223176504
294.5325582226264, 294.5325582226264
320.34474287491855, 320.34474287491855
347.28044310996415, 347.28044310996415
375.34957377565087, 375.34957377565087
404.56342288843524, 404.56342288843524
434.9348095420648, 434.9348095420648
466.47825490842945, 466.47825490842945
499.21016666209874, 499.21016666209874
533.1490370471138, 533.1490370471138
568.3156546715206, 568.3156546715206
604.7333299612259, 604.7333299612259
642.428134029603, 642.428134029603
681.4291505228007, 681.4291505228007
721.7687397832291, 721.7687397832291
763.4828144360055, 763.4828144360055
806.6111252464855, 806.6111252464855
851.1975558232232, 851.1975558232232
897.2904244521388, 897.2904244521388
944.942791047317, 944.942791047317
994.2127668952666, 994.2127668952666
1045.1638245568145, 1045.1638245568145
1097.8651049788355, 1097.8651049788355
1152.3917185620396, 1152.3917185620396
1208.8250366368468, 1208.8250366368468
1267.2529695232329, 1267.2529695232329
1327.7702270989016, 1327.7702270989016
1390.478557580077, 1390.478557580077
1455.4869600375855, 1455.4869600375855
1522.9118660346594, 1522.9118660346594
1592.877285688851, 1592.877285688851
1665.5149134350875, 1665.5149134350875
1740.9641888062047, 1740.9641888062047
1819.3723076566246, 1819.3723076566246
1900.8941794386908, 1900.8941794386908
1985.6923264030092, 1985.6923264030092
2073.9367209363454, 2073.9367209363454
2165.8045576741433, 2165.8045576741433
2261.4799575291745, 2261.4799575291745
2361.153601361177, 2361.153601361177
2465.022291670966, 2465.022291670966
2573.2884414311143, 2573.2884414311143
2686.1594899569072, 2686.1594899569072
2803.847246567162, 2803.847246567162
2926.567163674511, 2926.567163674511
3054.5375418670315, 3054.5375418670315
3187.9786704846983, 3187.9786704846983
3327.1119081407337, 3327.1119081407337
3472.158708574503, 3472.158708574503
3623.3395981333456, 3623.3395981333456
3780.873112049532, 3780.873112049532
3944.9746974893264, 3944.9746974893264
4115.855592087956, 4115.855592087956
4293.7216873321195, 4293.7216873321195
4478.772386696154, 4478.772386696154
4671.199468866407, 4671.199468866407
4871.1859666893615, 4871.1859666893615
5078.905072643511, 5078.905072643511
5294.519081655709, 5294.519081655709
5518.178381955023, 5518.178381955023
5750.020504379117, 5750.020504379117
5990.169240120244, 5990.169240120244
6238.73383632368, 6238.73383632368
6495.808278236801, 6495.808278236801
6761.470665760973, 6761.470665760973
7035.782691292271, 7035.782691292271
7318.789224664486, 7318.789224664486
7610.518009844843, 7610.518009844843
7910.979476796863, 7910.979476796863
8220.1666706351, 8220.1666706351
8538.055298873154, 8538.055298873154
8864.603896230425, 8864.603896230425
9199.754105135497, 9199.754105135497
9543.431068766, 9543.431068766
9895.543932216498, 9895.543932216498
10255.986446206827, 10255.986446206827
10624.637666651355, 10624.637666651355
11001.362742421032, 11001.362742421032
11386.013782759052, 11386.013782759052
