accel_x, accel_y
1.1076559111482622, 1.1076559111482622
1.1132780324971292, 1.1132780324971292
1.1194976427308483, 1.1194976427308483
1.1263685754128938, 1.1263685754128938
1.1339483531819259, 1.1339483531819259
1.14229830839381, 1.14229830839381
1.1514836921107465, 1.1514836921107465
1.1615737692141923, 1.1615737692141923
1.1726418972942256, 1.1726418972942256
1.1847655868550688, 1.1847655868550688
1.1980265402773067, 1.1980265402773067
1.2125106668946486, 1.2125106668946486
1.2283080714796675, 1.2283080714796675
1.2455130133917167, 1.2455130133917167
1.264223833624027, 1.264223833624027
1.2845428469986675, 1.2845428469986675
1.3065761968004246, 1.3065761968004246
1.3304336692163332, 1.3304336692163332
1.35622846505908, 1.35622846505908
1.3840769264020631, 1.3840769264020631
1.4140982159434679, 1.4140982159434679
1.4464139471479858, 1.4464139471479858
1.4811477634889507, 1.4811477634889507
1.5184248654315058, 1.5184248654315058
1.5583714841592096, 1.5583714841592096
1.6011143014519444, 1.6011143014519444
1.6467798155712323, 1.6467798155712323
1.6954936534985185, 1.6954936534985185
1.7473798304004584, 1.7473798304004584
1.802559957759775, 1.802559957759775
1.8611524022071926, 1.8611524022071926
1.923271397714858, 1.923271397714858
1.989026114459442, 1.989026114459442
2.058519688327839, 2.058519688327839
2.1318482157135454, 2.1318482157135454
2.2090997189301365, 2.2090997189301365
2.2903530882419956, 2.2903530882419956
2.3756770071731803, 2.3756770071731803
2.465128868394287, 2.465128868394287
2.55875368809515, 2.55875368809515
2.656583027318865, 2.656583027318865
2.7586339292503106, 2.7586339292503106
2.8649078819105775, 2.8649078819105775
2.9753898160979944, 2.9753898160979944
3.090047148727702, 3.090047148727702
3.2088288819461988, 3.2088288819461988
3.3316647685268075, 3.3316647685268075
3.458464554079306, 3.458464554079306
3.589117306525307, 3.589117306525307
3.723490843095162, 3.723490843095162
3.8614312647876248, 3.8614312647876248
4.002762607797462, 4.002762607797462
4.147286620856971, 4.147286620856971
4.294782676754907, 4.294782676754907
4.445007825492257, 4.445007825492257
4.597696995611832, 4.597696995611832
4.752563349202635, 4.752563349202635
4.909298794937244, 4.909298794937244
5.067574662259187, 5.067574662259187
5.227042538507702, 5.227042538507702
5.38733526936084, 5.38733526936084
5.548068121507889, 5.548068121507889
5.708840104943021, 5.708840104943021
5.869235450719604, 5.869235450719604
6.028825238435762, 6.028825238435762
6.187169166154089, 6.187169166154089
6.343817453910135, 6.343817453910135
6.49831287045449, 6.49831287045449
6.650192871420391, 6.650192871420391
6.798991835731945, 6.798991835731945
6.944243385785437, 6.944243385785437
7.085482775765577, 7.085482775765577
7.222249331416831, 7.222249331416831
7.354088923692532, 7.354088923692532
7.48055645796575, 7.48055645796575
7.601218359918141, 7.601218359918141
7.715655038836898, 7.715655038836898
7.823463308853885, 7.823463308853885
7.924258748661342, 7.924258748661342
8.01767798043893, 8.01767798043893
8.103380849128719, 8.103380849128719
8.18105248379665, 8.18105248379665
8.25040522361743, 8.25040522361743
8.311180392007937, 8.311180392007937
8.363149903603517, 8.363149903603517
8.406117690110362, 8.406117690110362
8.439920932561998, 8.439920932561998
8.464431089142865, 8.464431089142865
8.47955470949948, 8.47955470949948
8.485234028320237, 8.485234028320237
8.4814473329076, 8.4814473329076
8.468209101469622, 8.468209101469622
8.445569910898179, 8.445569910898179
8.413616114855946, 8.413616114855946
8.372469295039416, 8.372469295039416
8.322285490497606, 8.322285490497606
8.263254211842778, 8.263254211842778
8.195597249068163, 8.195597249068163
8.119567283467424, 8.119567283467424
8.035446315811468, 8.035446315811468
