accel_x, accel_y
1.0616069851961016, 1.0616069851961016
1.061817637972707, 1.061817637972707
1.0620719534294778, 1.0620719534294778
1.0623782465327978, 1.0623782465327978
1.0627462562259675, 1.0627462562259675
1.0631873566902088, 1.0631873566902088
1.0637147936741467, 1.0637147936741467
1.0643439477155776, 1.0643439477155776
1.0650926259975373, 1.0650926259975373
1.0659813844468902, 1.0659813844468902
1.0670338814900044, 1.0670338814900044
1.0682772646184544, 1.0682772646184544
1.0697425905800977, 1.0697425905800977
1.0714652795895347, 1.0714652795895347
1.0734856034395952, 1.0734856034395952
1.075849206785707, 1.075849206785707
1.0786076601624806, 1.0786076601624806
1.0818190424728344, 1.0818190424728344
1.0855485497626807, 1.0855485497626807
1.0898691260590023, 1.0898691260590023
1.0948621109093903, 1.0948621109093903
1.100617897023071, 1.100617897023071
1.1072365900871213, 1.1072365900871213
1.1148286614307692, 1.1148286614307692
1.1235155827534382, 1.1235155827534382
1.1334304306411052, 1.1334304306411052
1.1447184470976635, 1.1447184470976635
1.157537540845145, 1.157537540845145
1.1720587127351847, 1.1720587127351847
1.1884663873046721, 1.1884663873046721
1.2069586313457137, 1.2069586313457137
1.227747239391751, 1.227747239391751
1.2510576652984517, 1.2510576652984517
1.2771287786719132, 1.2771287786719132
1.3062124248203877, 1.3062124248203877
1.338572767230872, 1.338572767230872
1.3744853923478577, 1.3744853923478577
1.414236157703671, 1.414236157703671
1.458119766257742, 1.458119766257742
1.5064380521778573, 1.5064380521778573
1.5594979662625301, 1.5594979662625301
1.6176092527713966, 1.6176092527713966
1.6810818135983139, 1.6810818135983139
1.7502227604733658, 1.7502227604733658
1.825333161183003, 1.825333161183003
1.9067044916029148, 1.9067044916029148
1.9946148115789541, 1.9946148115789541
2.0893246892826425, 2.0893246892826425
2.1910729055067257, 2.1910729055067257
2.3000719763331516, 2.3000719763331516
2.4165035395651993, 2.4165035395651993
2.5405136571178524, 2.5405136571178524
2.672208092045077, 2.672208092045077
2.811647624880282, 2.811647624880282
2.9588434793030034, 2.9588434793030034
3.1137529316460846, 3.1137529316460846
3.276275182252561, 3.276275182252561
3.446247569017791, 3.446247569017791
3.6234422044612415, 3.6234422044612415
3.807563117233606, 3.807563117233606
3.9982439769715534, 3.9982439769715534
4.195046477785616, 4.195046477785616
4.39745945035989, 4.39745945035989
4.604898765644598, 4.604898765644598
4.816708084462193, 4.816708084462193
5.032160497093356, 5.032160497093356
5.250461085171616, 5.250461085171616
5.470750425146573, 5.470750425146573
5.692109038368784, 5.692109038368784
5.913562777734633, 5.913562777734633
6.1340891250723, 6.1340891250723
6.352624357344465, 6.352624357344465
6.568071523607459, 6.568071523607459
6.779309158835292, 6.779309158835292
6.9852006455330375, 6.9852006455330375
7.1846041198724295, 7.1846041198724295
7.3763828062185555, 7.3763828062185555
7.559415652699743, 7.559415652699743
7.7326081311963675, 7.7326081311963675
7.8949030580476895, 7.8949030580476895
8.045291287116616, 8.045291287116616
8.182822124779284, 8.182822124779284
8.306613317034127, 8.306613317034127
8.415860462309517, 8.415860462309517
8.509845709684102, 8.509845709684102
8.587945611051062, 8.587945611051062
8.6496380071251, 8.6496380071251
8.694507840917545, 8.694507840917545
8.722251808142328, 8.722251808142328
8.732681771664023, 8.732681771664023
8.725726886215577, 8.725726886215577
8.701434399817515, 8.701434399817515
8.659969119215948, 8.659969119215948
8.60161154780029, 8.60161154780029
8.526754725432836, 8.526754725432836
8.435899819996186, 8.435899819996186
8.329650539829716, 8.329650539829716
8.208706454197129, 8.208706454197129
8.073855325152282, 8.073855325152282
7.925964568340616, 7.925964568340616
