pos_x, pos_y
-796.1061734860352, 464.19642967696893
-296.35892162209274, 958.0369100898589
9.290871300261475, -692.6147654684007
34.62611848533005, 292.62043994824444
-208.29616562169173, -308.58471444298334
334.9045831150444, -220.08307494105307
-502.43606723452666, -264.82281466266403
-30.759490769186364, -391.56513309844763
110.80681377939385, 74.91981189585792
319.291926721658, -353.4025485132354
430.49148704584485, 209.91246089131937
-473.8129489415236, 63.38904225284253
-663.4966313429095, -15.913569408303147
758.6967350350387, -333.9235069350148
303.57742397008644, -150.9652473038757
-217.976213556481, 533.9626676346738
951.9962554213628, 426.8788614722917
255.74123141405258, -290.8737081316523
810.3923813721175, 270.4099420548172
278.7269820442417, 620.6613030250818
1300.9797539951073, -564.096849006572
1175.3606769377905, 569.3703519061557
201.7737934022149, -5.056011831171702
842.1253799099243, 641.6392387293263
710.6702875004745, 6.352734436642322
1105.5416140506811, -481.21521504775257
-26.345592613368012, -357.6550812648971
835.7276637215797, 516.744407053051
1060.24735302323, 660.8963604591772
-308.19889777928483, 119.01253288006808
21.538477335428183, 932.4639630570027
-362.52819557797636, -173.67213783240607
568.2936618280125, 669.9571797266332
1109.735912384818, 145.45668460560853
1552.2428641871097, 475.14628423801616
890.4203817201724, 877.0723271684918
1722.2797707553618, 477.76531532773964
274.8959523288744, 772.6689093214075
172.6952740937412, 1527.532898378539
1058.611210346103, 797.9391250328381
1343.0729333144786, 1568.886264877396
1202.1066177774412, 653.6005644956787
255.01163266612298, 1553.6347716437026
1317.4267436073385, 2082.771073692683
786.0961409377052, 202.5086411264872
1852.7201223134964, 1119.4362201632389
1784.0675924237735, 1889.3045329656193
1217.171662242623, 1585.5888623848043
1520.1103000754306, 1962.6166954294317
1341.0926919798735, 1568.706859566439
1936.8770297331228, 2011.5114721061586
2547.3076266734847, 1991.897848726826
1682.5406179291078, 2759.2946719267834
2537.388856206571, 2412.576020098255
2134.6437544376895, 2568.5738946615106
2122.340809664611, 2312.8387427345488
2589.0192713395795, 2398.731339280612
2253.579814423184, 2554.921881723061
2628.110421937552, 3102.1611458002917
2444.9572698334987, 2833.403975717791
4170.607259372258, 3333.13212136227
3355.7730138075767, 4375.841637144432
3143.883868838011, 3929.3089745501497
3762.211198664726, 3492.2094772136943
3766.5606641539466, 4423.331650081334
3885.930504100651, 3792.377617356487
4483.533086210786, 3157.3874686001463
4741.736336404992, 3858.939325922637
4290.914845639762, 3620.769458932098
4468.238229022103, 4580.390607323789
4825.547674053824, 4972.2827122244225
4026.124596322823, 6015.303834828256
4640.723552983725, 5561.782770965083
6310.344212121343, 5517.356813994648
6685.459485923767, 6277.678419764869
5982.127378528897, 5001.077743803144
6646.309304007767, 6475.838101534167
6772.864787233305, 7002.67230690502
8423.81326041947, 6145.079733301932
7719.3111361198935, 7731.40070200607
7378.819089722105, 7612.026089209695
7256.442922705953, 7526.5691860557645
7230.6756456446765, 8350.289738826605
8443.627466866377, 9477.242077834964
8280.080269353522, 8749.188769524922
8271.894897949855, 9107.13204589886
8992.941342313008, 9086.54733466415
9117.124245401796, 9232.976062476599
10851.6190822295, 10423.21617296534
10807.503394680485, 9938.641603251326
10729.8138943929, 10769.583333660905
11849.357192443144, 10870.556399615572
11532.099754679757, 11732.905513729143
11455.21759416449, 12052.690747472096
13048.238296731162, 12805.446230225283
12965.270128696875, 12440.806907427172
12594.59413266137, 12978.279742177914
13443.645571001918, 13049.433052152568
13534.723050853932, 13750.385547508255
13722.885025882542, 14602.935137887136
